state,county
Alabama,"Jefferson County, Alabama"
Alaska,"Anchorage Municipality, Alaska"
Arizona,"Maricopa County, Arizona"
Arkansas,"Pulaski County, Arkansas"
California,"Los Angeles County, California"
Colorado,"El Paso County, Colorado"
Connecticut,"Fairfield County, Connecticut"
Delaware,"New Castle County, Delaware"
District of Columbia,"District of Columbia, District of Columbia"
Florida,"Miami-Dade County, Florida"
Georgia,"Fulton County, Georgia"
Hawaii,"Honolulu County, Hawaii"
Idaho,"Ada County, Idaho"
Illinois,"Cook County, Illinois"
Indiana,"Marion County, Indiana"
Iowa,"Polk County, Iowa"
Kansas,"Johnson County, Kansas"
Kentucky,"Jefferson County, Kentucky"
Louisiana,"East Baton Rouge Parish, Louisiana"
Maine,"Cumberland County, Maine"
Maryland,"Montgomery County, Maryland"
Massachusetts,"Middlesex County, Massachusetts"
Michigan,"Wayne County, Michigan"
Minnesota,"Hennepin County, Minnesota"
Mississippi,"Hinds County, Mississippi"
Missouri,"St. Louis County, Missouri"
Montana,"Yellowstone County, Montana"
Nebraska,"Douglas County, Nebraska"
Nevada,"Clark County, Nevada"
New Hampshire,"Hillsborough County, New Hampshire"
New Jersey,"Bergen County, New Jersey"
New Mexico,"Bernalillo County, New Mexico"
New York,"Kings County, New York"
North Carolina,"Wake County, North Carolina"
North Dakota,"Cass County, North Dakota"
Ohio,"Franklin County, Ohio"
Oklahoma,"Oklahoma County, Oklahoma"
Oregon,"Multnomah County, Oregon"
Pennsylvania,"Philadelphia County, Pennsylvania"
Puerto Rico,"San Juan Municipio, Puerto Rico"
Rhode Island,"Providence County, Rhode Island"
South Carolina,"Greenville County, South Carolina"
South Dakota,"Minnehaha County, South Dakota"
Tennessee,"Shelby County, Tennessee"
Texas,"Harris County, Texas"
Utah,"Salt Lake County, Utah"
Vermont,"Chittenden County, Vermont"
Virginia,"Fairfax County, Virginia"
Washington,"King County, Washington"
West Virginia,"Kanawha County, West Virginia"
Wisconsin,"Milwaukee County, Wisconsin"
Wyoming,"Laramie County, Wyoming"
